rosbagTimestamp,linear,x,y,z,angular,x,y,z
221553000000,,0.2,0.0,0.0,,0.0,0.0,0.324942516371
221651000000,,0.2,0.0,0.0,,0.0,0.0,0.33359672824
221754000000,,0.2,0.0,0.0,,0.0,0.0,0.329311491837
221853000000,,0.2,0.0,0.0,,0.0,0.0,0.318602025206
221952000000,,0.2,0.0,0.0,,0.0,0.0,0.308173560606
222054000000,,0.2,0.0,0.0,,0.0,0.0,0.298095307738
222156000000,,0.2,0.0,0.0,,0.0,0.0,0.288355654296
222251000000,,0.2,0.0,0.0,,0.0,0.0,0.278942519052
222353000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
222453000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
222553000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
222651000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
222751000000,,0.2,0.0,0.0,,0.0,0.0,0.291781763705
222855000000,,0.2,0.0,0.0,,0.0,0.0,0.300609582523
222952000000,,0.2,0.0,0.0,,0.0,0.0,0.297081879073
223052000000,,0.2,0.0,0.0,,0.0,0.0,0.287463761849
223158000000,,0.2,0.0,0.0,,0.0,0.0,0.278090826512
223253000000,,0.2,0.0,0.0,,0.0,0.0,0.269030171053
223357000000,,0.2,0.0,0.0,,0.0,0.0,0.260271878706
223458000000,,0.2,0.0,0.0,,0.0,0.0,0.251805555491
223552000000,,0.2,0.0,0.0,,0.0,0.0,0.243620877089
223651000000,,0.2,0.0,0.0,,0.0,0.0,0.23570374311
223751000000,,0.2,0.0,0.0,,0.0,0.0,0.228049482483
223853000000,,0.2,0.0,0.0,,0.0,0.0,0.220648970428
223952000000,,0.2,0.0,0.0,,0.0,0.0,0.213493463622
224054000000,,0.2,0.0,0.0,,0.0,0.0,0.206574543071
224152000000,,0.2,0.0,0.0,,0.0,0.0,0.199884102418
224252000000,,0.2,0.0,0.0,,0.0,0.0,0.193414336014
224352000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
224451000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
224552000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
224653000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
224752000000,,0.2,0.0,0.0,,0.0,0.0,0.213142403076
224854000000,,0.2,0.0,0.0,,0.0,0.0,0.221806402771
224951000000,,0.2,0.0,0.0,,0.0,0.0,0.219320111793
225052000000,,0.2,0.0,0.0,,0.0,0.0,0.212276593363
225152000000,,0.2,0.0,0.0,,0.0,0.0,0.205409682331
225255000000,,0.2,0.0,0.0,,0.0,0.0,0.198769541578
225361000000,,0.2,0.0,0.0,,0.0,0.0,0.192348824153
225451000000,,0.2,0.0,0.0,,0.0,0.0,0.186139834166
225561000000,,0.2,0.0,0.0,,0.0,0.0,0.180135210888
225656000000,,0.2,0.0,0.0,,0.0,0.0,0.174327912887
225754000000,,0.2,0.0,0.0,,0.0,0.0,0.168711193107
225855000000,,0.2,0.0,0.0,,0.0,0.0,0.16327857566
225952000000,,0.2,0.0,0.0,,0.0,0.0,0.158023834459
226051000000,,0.2,0.0,0.0,,0.0,0.0,0.152940983592
226156000000,,0.2,0.0,0.0,,0.0,0.0,0.148024257464
226259000000,,0.2,0.0,0.0,,0.0,0.0,0.14326809834
226351000000,,0.2,0.0,0.0,,0.0,0.0,0.138667145038
226454000000,,0.2,0.0,0.0,,0.0,0.0,0.134216223203
226552000000,,0.2,0.0,0.0,,0.0,0.0,0.129910337578
226653000000,,0.2,0.0,0.0,,0.0,0.0,0.125744665468
226751000000,,0.2,0.0,0.0,,0.0,0.0,0.121714550677
226854000000,,0.2,0.0,0.0,,0.0,0.0,0.117815497817
226952000000,,0.2,0.0,0.0,,0.0,0.0,0.114043167005
227051000000,,0.2,0.0,0.0,,0.0,0.0,0.110393368648
227152000000,,0.2,0.0,0.0,,0.0,0.0,0.106862057761
227257000000,,0.2,0.0,0.0,,0.0,0.0,0.103445327714
227352000000,,0.2,0.0,0.0,,0.0,0.0,0.100139403876
227451000000,,0.2,0.0,0.0,,0.0,0.0,0.0969406377963
227552000000,,0.2,0.0,0.0,,0.0,0.0,0.0938455022848
227653000000,,0.2,0.0,0.0,,0.0,0.0,0.0908505873327
227752000000,,0.2,0.0,0.0,,0.0,0.0,0.0879525967412
227855000000,,0.2,0.0,0.0,,0.0,0.0,0.085148345253
227953000000,,0.2,0.0,0.0,,0.0,0.0,0.0824347557996
228055000000,,0.2,0.0,0.0,,0.0,0.0,0.0798088563822
228157000000,,0.2,0.0,0.0,,0.0,0.0,0.0772677763309
228252000000,,0.2,0.0,0.0,,0.0,0.0,0.0748087420935
228352000000,,0.2,0.0,0.0,,0.0,0.0,0.0724290729047
228452000000,,0.2,0.0,0.0,,0.0,0.0,0.0701261765747
228551000000,,0.2,0.0,0.0,,0.0,0.0,0.0678975455593
228652000000,,0.2,0.0,0.0,,0.0,0.0,0.0657407534976
228752000000,,0.2,0.0,0.0,,0.0,0.0,0.0636534528475
228856000000,,0.2,0.0,0.0,,0.0,0.0,0.0616333732615
228952000000,,0.2,0.0,0.0,,0.0,0.0,0.0596783203899
229058000000,,0.2,0.0,0.0,,0.0,0.0,0.0577861742441
229155000000,,0.2,0.0,0.0,,0.0,0.0,0.0559548867887
229262000000,,0.2,0.0,0.0,,0.0,0.0,0.0541824790552
229352000000,,0.2,0.0,0.0,,0.0,0.0,0.0524670381945
229456000000,,0.2,0.0,0.0,,0.0,0.0,0.0508067145382
229566000000,,0.2,0.0,0.0,,0.0,0.0,0.0491997185382
229651000000,,0.2,0.0,0.0,,0.0,0.0,0.0476443177958
229756000000,,0.2,0.0,0.0,,0.0,0.0,0.046138834803
229863000000,,0.2,0.0,0.0,,0.0,0.0,0.0446816458101
229952000000,,0.2,0.0,0.0,,0.0,0.0,0.0432711804386
230057000000,,0.2,0.0,0.0,,0.0,0.0,0.0419059211205
230153000000,,0.2,0.0,0.0,,0.0,0.0,0.0405844017669
230261000000,,0.2,0.0,0.0,,0.0,0.0,0.0393052058346
230356000000,,0.2,0.0,0.0,,0.0,0.0,0.0380669642853
230460000000,,0.2,0.0,0.0,,0.0,0.0,0.0368683536121
230573000000,,0.2,0.0,0.0,,0.0,0.0,0.0357080938266
230660000000,,0.2,0.0,0.0,,0.0,0.0,0.0345849458915
230754000000,,0.2,0.0,0.0,,0.0,0.0,0.033497709463
230855000000,,0.2,0.0,0.0,,0.0,0.0,0.0324452214716
230956000000,,0.2,0.0,0.0,,0.0,0.0,0.0314263561168
231059000000,,0.2,0.0,0.0,,0.0,0.0,0.0304400247732
231151000000,,0.2,0.0,0.0,,0.0,0.0,0.029485175615
231253000000,,0.2,0.0,0.0,,0.0,0.0,0.0285607928001
231354000000,,0.2,0.0,0.0,,0.0,0.0,0.0276658949173
231456000000,,0.2,0.0,0.0,,0.0,0.0,0.026799533631
231559000000,,0.2,0.0,0.0,,0.0,0.0,0.0259607920708
231654000000,,0.2,0.0,0.0,,0.0,0.0,0.0251487828378
231754000000,,0.2,0.0,0.0,,0.0,0.0,0.0243626460644
231859000000,,0.2,0.0,0.0,,0.0,0.0,0.0236015474884
231962000000,,0.2,0.0,0.0,,0.0,0.0,0.0228646782
232052000000,,0.2,0.0,0.0,,0.0,0.0,0.022151255417
232156000000,,0.2,0.0,0.0,,0.0,0.0,0.0214605226771
232253000000,,0.2,0.0,0.0,,0.0,0.0,0.0207917495589
232359000000,,0.2,0.0,0.0,,0.0,0.0,0.0201442310558
232451000000,,0.2,0.0,0.0,,0.0,0.0,0.019517286778
232558000000,,0.2,0.0,0.0,,0.0,0.0,0.0189102595642
232657000000,,0.2,0.0,0.0,,0.0,0.0,0.0183225139041
232752000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
232855000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
232961000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233054000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233161000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233252000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233355000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233454000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233557000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233658000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233754000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233861000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
233958000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234052000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234165000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234263000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234360000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234455000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234552000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234660000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234760000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234852000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
234960000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
235056000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
235172000000,,0.2,0.0,0.0,,0.0,0.0,0.0177534339142
