x,y
0.263112741,-0.067802542
0.266783515,-0.068577296
0.270091743,-0.069309443
0.273492766,-0.070097413
0.276785943,-0.070895236
0.280071097,-0.071725514
0.283447071,-0.072614811
0.286714951,-0.073510727
0.289973842,-0.074438842
0.293321748,-0.075428661
0.296561411,-0.076421863
0.299791126,-0.077446977
0.303107974,-0.078536426
0.306316525,-0.079626019
0.309514179,-0.08074721
0.312797004,-0.08193531
0.31631986,-0.083248623
0.320529441,-0.084836261
0.325591177,-0.086736776
0.331200033,-0.088797142
0.337295396,-0.090951858
0.343617522,-0.093089228
0.349783004,-0.095079209
0.355974871,-0.096985647
0.362380736,-0.098862096
0.368626007,-0.100600199
0.374893572,-0.102256516
0.381373153,-0.103877148
0.387685916,-0.105368678
0.394017126,-0.10678033
0.400558318,-0.108150941
0.406928033,-0.109402279
0.413312652,-0.110576613
0.419905089,-0.111705771
0.4263188,-0.112724361
0.432744158,-0.113667147
0.439375393,-0.114559063
0.445825718,-0.11534964
0.452284782,-0.116067348
0.458947615,-0.116730466
0.464972342,-0.117258646
0.47028356,-0.11769009
0.475025242,-0.118065535
0.478949692,-0.118385992
0.482361113,-0.118692435
0.48583455,-0.119041679
0.489202286,-0.119414379
0.492566195,-0.119820278
0.496027691,-0.120273161
0.499382822,-0.120746345
0.502733133,-0.121252602
0.506179583,-0.12180874
0.509519106,-0.122381992
0.512852822,-0.122988158
0.516281144,-0.123647056
0.519602073,-0.124319864
0.522916214,-0.125025397
0.526323343,-0.125786466
0.530035898,-0.126656753
0.534432973,-0.127705679
0.539660118,-0.128951759
0.545402189,-0.130286321
0.551690929,-0.131678357
0.558234813,-0.133040607
0.564604492,-0.13428299
0.570989027,-0.135446982
0.577581493,-0.136564057
0.5839964,-0.137570109
0.590422912,-0.138499837
0.597055251,-0.139377747
0.603505604,-0.140153681
0.609964545,-0.140855413
0.6166272,-0.141500684
0.623103969,-0.142052894
0.629586569,-0.142533064
0.636270772,-0.142952357
0.642765701,-0.143287348
0.649263944,-0.143552484
0.655961687,-0.143752544
0.662467242,-0.143876886
0.668973821,-0.143933565
0.675677812,-0.143921083
0.681635093,-0.143859368
0.68694194,-0.143755018
0.691764526,-0.143645031
0.695809957,-0.143563585
0.699294774,-0.143517624
0.702785668,-0.143505907
0.70617385,-0.143528346
0.709561647,-0.143584195
0.713051357,-0.143676674
0.716437364,-0.143800333
0.719821992,-0.143957373
0.723307395,-0.144154068
0.727127993,-0.144413042
0.731554278,-0.144736323
0.736774772,-0.145129879
0.742435526,-0.145544748
0.748692443,-0.14596026
0.755381148,-0.146329315
0.761877753,-0.146615754
0.768377129,-0.146831845
0.775075512,-0.146980897
0.781581168,-0.14705525
0.788087333,-0.147061243
0.79479034,-0.14699592
0.801298189,-0.146864508
0.807804454,-0.146667171
0.814505433,-0.146394922
0.821009218,-0.146064678
0.827509532,-0.145670721
0.834202456,-0.145198223
0.840696526,-0.144675785
0.847185426,-0.144091816
0.85386486,-0.143425848
0.860344124,-0.142717771
0.866816693,-0.141950315
0.873477752,-0.141097564
0.879391883,-0.140331595
0.884526689,-0.139595422
0.889094344,-0.13893638
0.892829613,-0.138415642
0.896189687,-0.137974174
0.899655233,-0.137554752
0.90302276,-0.137181376
0.906393807,-0.13684124
0.909870344,-0.136525598
0.913247532,-0.136253044
0.916627247,-0.136013816
0.920111675,-0.135802218
0.923914823,-0.135601511
0.928382746,-0.135404045
0.933674619,-0.135187491
0.939409792,-0.134940867
0.945717741,-0.134629271
0.952415154,-0.134235229
0.958912406,-0.133789225
0.965405014,-0.133279775
0.972088832,-0.132688582
0.978572911,-0.132051181
0.985050745,-0.131352527
0.991717663,-0.130568702
0.998183698,-0.129746485
1.004642012,-0.128865185
1.011287318,-0.127895459
1.017730883,-0.126894942
1.024165411,-0.12583747
1.030784875,-0.124688473
1.037202021,-0.123516051
1.043608965,-0.122288752
1.050198825,-0.120966983
1.05658605,-0.119628922
1.06296202,-0.118238116
1.069518792,-0.116749966
1.07587284,-0.115252381
1.08221474,-0.113703927
1.088735625,-0.112055454
1.095053908,-0.110404242
1.101359254,-0.108704092
1.107841684,-0.106901354
1.114121827,-0.10510232
1.12038835,-0.103256228
1.126830099,-0.101305092
1.133070047,-0.099363879
1.139295792,-0.097377429
1.145694944,-0.095283587
1.151892937,-0.093205666
1.158076232,-0.091084272
1.164431159,-0.088853241
1.170585703,-0.08664391
1.17672514,-0.084392811
1.183034473,-0.082029929
1.189144324,-0.079694315
1.195238731,-0.077318579
1.201501343,-0.074829005
1.20756548,-0.072372058
1.213613906,-0.069876579
1.219828885,-0.067265297
1.225303932,-0.065180447
1.229831178,-0.063339202
1.233683075,-0.06167928
1.236842299,-0.060345341
1.239976548,-0.059058844
1.243218886,-0.057765778
1.246378268,-0.056542327
1.249549563,-0.055350106
1.252829092,-0.054154544
1.256023625,-0.05302608
1.259229132,-0.051929184
1.262542927,-0.050832179
1.266170307,-0.04965983
1.270482404,-0.048234046
1.275696955,-0.046623008
1.281476959,-0.044833575
1.287701702,-0.042868734
1.29410674,-0.040794139
1.300309064,-0.038734564
1.30649638,-0.036630276
1.312855135,-0.034415578
1.319013114,-0.03222086
1.325155658,-0.029983177
1.331467836,-0.027632877
1.33758014,-0.025308279
1.343676638,-0.022942423
1.349941012,-0.020461846
1.356006514,-0.018012491
1.362055913,-0.015523522
1.368271471,-0.012917821
1.374289263,-0.01034865
1.38029072,-0.00774145
1.386456661,-0.005015591
1.392426033,-0.002331368
1.398378897,0.000389358
1.404494613,0.003230591
1.410415034,0.006025278
1.41631883,0.008854999
1.422383885,0.011806996
1.428254988,0.01470773
1.434109398,0.017642085
1.440123517,0.020700412
1.445945084,0.023702943
1.451749934,0.026737737
1.457712983,0.029898129
1.463484929,0.03299837
1.469240176,0.036129569
1.475152151,0.039387925
1.480874512,0.042581948
1.486580227,0.045805675
1.49244124,0.049158055
1.498114161,0.052442086
1.503770522,0.055754617
1.509580788,0.059197236
1.515204511,0.06256765
1.520811788,0.065965408
