x,z
0.2,-0.018221178
0.2,-0.018434496
0.2,-0.017991451
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
0.2,-0.017664141
