x,z
0.2,0.018003822
0.2,0.018426513
0.2,0.018157369
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,0.017878131
0.2,-0.01821134
0.2,-0.018864108
0.2,-0.019136038
0.2,-0.019455853
0.2,-0.019699602
0.2,-0.020290749
0.2,-0.020826343
0.2,-0.021458512
0.2,-0.022216303
0.2,-0.022788688
0.2,-0.023446925
0.2,-0.02503368
0.2,-0.026542136
0.2,-0.028397207
0.2,-0.031665315
0.2,-0.034936072
0.2,-0.039308737
0.2,-0.045431276
0.2,-0.050988273
0.2,-0.069507764
